,name,code
316,케이씨피드,025880.KQ
317,코너스톤네트웍스,033110.KQ
318,코데즈컴바인,047770.KQ
319,코메론,049430.KQ
320,코미팜,041960.KQ
321,코웰패션,033290.KQ
322,코위버,056360.KQ
323,콜마비앤에이치,200130.KQ
324,큐브엔터,182360.KQ
325,크로바하이텍,043590.KQ
326,클리오,237880.KQ
327,키움제5호스팩,311270.KQ
328,테고사이언스,191420.KQ
329,테스나,131970.KQ
330,파라텍,033540.KQ
331,파루,043200.KQ
332,파세코,037070.KQ
333,파수,150900.KQ
334,파워로직스,047310.KQ
335,파인디지털,038950.KQ
336,팬엔터테인먼트,068050.KQ
337,펌텍코리아,251970.KQ
338,포시에스,189690.KQ
339,풍강,093380.KQ
340,피에스텍,002230.KQ
341,하나마이크론,067310.KQ
342,하이록코리아,013030.KQ
343,한국경제TV,039340.KQ
344,한국바이오젠,318000.KQ
345,한국비엔씨,256840.KQ
346,한국아트라스비엑스,023890.KQ
347,한국알콜,017890.KQ
348,한국정보통신,025770.KQ
349,한국팩키지,037230.KQ
350,한일단조,024740.KQ
351,한컴위드,054920.KQ
352,한탑,002680.KQ
353,형지I&C,011080.KQ
354,휴네시온,290270.KQ
355,휴맥스홀딩스,028080.KQ
356,DB금융스팩7호,322780.KQ
357,IBKS제10호스팩,299170.KQ
358,JTC,950170.KQ
359,KCC건설,021320.KQ
360,KCI,036670.KQ
361,KG ETS,151860.KQ
362,NEW,160550.KQ
363,SBI핀테크솔루션즈,950110.KQ
364,SKC코오롱PI,178920.KQ
365,SK바이오랜드,052260.KQ
366,SM Life Design,063440.KQ
367,YBM넷,057030.KQ
368,iMBC,052220.KQ
369,교보9호스팩,331520.KQ
370,나노신소재,121600.KQ
371,넥슨지티,041140.KQ
372,노터스,278650.KQ
373,녹원씨엔아이,065560.KQ
374,누리플랜,069140.KQ
375,뉴프라이드,900100.KQ
376,다원시스,068240.KQ
377,대원산업,005710.KQ
378,대유,290380.KQ
379,덕신하우징,090410.KQ
380,데일리블록체인,139050.KQ
381,동신건설,025950.KQ
382,동일기연,032960.KQ
383,듀오백,073190.KQ
384,드래곤플라이,030350.KQ
385,디지아이,043360.KQ
386,디지털대성,068930.KQ
387,디티앤씨,187220.KQ
388,램테크놀러지,171010.KQ
389,랩지노믹스,084650.KQ
390,레고켐바이오,141080.KQ
391,로고스바이오,238120.KQ
392,로보스타,090360.KQ
393,리드,197210.KQ
394,리드코프,012700.KQ
395,머큐리,100590.KQ
396,메디포스트,078160.KQ
397,미래컴퍼니,049950.KQ
398,바이오니아,064550.KQ
399,베뉴지,019010.KQ
400,베셀,177350.KQ
401,보라티알,250000.KQ
402,부방,014470.KQ
403,브리지텍,064480.KQ
404,삼진엘앤디,054090.KQ
405,삼천리자전거,024950.KQ
406,삼현철강,017480.KQ
407,상아프론테크,089980.KQ
408,서남,294630.KQ
409,서부T&D,006730.KQ
410,서산,079650.KQ
411,서진오토모티브,122690.KQ
412,성우테크론,045300.KQ
413,세운메디칼,100700.KQ
414,세종텔레콤,036630.KQ
415,소프트캠프,258790.KQ
416,솔본,035610.KQ
417,수산아이앤티,050960.KQ
418,슈피겐코리아,192440.KQ
419,시공테크,020710.KQ
420,시그네틱스,033170.KQ
421,신신제약,002800.KQ
422,신테카바이오,226330.KQ
423,신한제5호스팩,323230.KQ
424,신한제6호스팩,333050.KQ
425,실리콘웍스,108320.KQ
426,쎄노텍,222420.KQ
427,쎄미시스코,136510.KQ
428,쎄트렉아이,099320.KQ
429,쎌바이오텍,049960.KQ
430,씨엠에스에듀,225330.KQ
431,씨큐브,101240.KQ
432,아비코전자,036010.KQ
433,아진산업,013310.KQ
434,아프리카TV,067160.KQ
435,알티캐스트,085810.KQ
436,애니젠,196300.KQ
437,액션스퀘어,205500.KQ
438,에스마크,030270.KQ
439,에스앤더블류,103230.KQ
440,에스에프에이,056190.KQ
441,에스엠코어,007820.KQ
442,에스트래픽,234300.KQ
443,에스퓨얼셀,288620.KQ
444,에이디칩스,054630.KQ
445,에이비엘바이오,298380.KQ
446,에이스침대,003800.KQ
447,에이스토리,241840.KQ
448,에이치시티,072990.KQ
449,에이텍티앤,224110.KQ
450,엑셈,205100.KQ
451,엔텔스,069410.KQ
452,엘디티,096870.KQ
453,엘비세미콘,061970.KQ
454,엘아이에스,138690.KQ
455,엘엠에스,073110.KQ
456,엘컴텍,037950.KQ
457,예스티,122640.KQ
458,오상자이엘,053980.KQ
459,오스테오닉,226400.KQ
460,오텍,067170.KQ
461,원익머트리얼즈,104830.KQ
